,V1,V4,V7,V10,V13,V16,V19,V22,V25,V28,V31,V34,V37,V40,V43,V46,V49
0,15212464.8871182,456590000.0,456590000.0,15353429.747676,9077743.8247012,4469226.36122178,12075339.309429,8573129.74767596,52128575.4316069,131999718.459495,8310621.77954847,8454852.04515272,140498403.718459,23286669.3227092,456590000.0,11787425.0996016,138626077.158035
1,149997296.309112,7770490.88811995,13869906.5743945,31207598.8465975,107639077.16263,34811331.1418685,112169357.900807,40627500.922722,109736585.582468,2035522347.82007,158695374.244521,149903872.7797,141770677.047289,24798086.1591696,149801420.991926,55980477.254902,339063983.275663
2,722734602.979903,174032862.778933,33646361.6008316,764276678.794179,495232432.314622,598220343.478863,780449634.442134,724850623.977824,689906621.940402,544446655.509356,7960512.61261261,771270516.770617,913098626.957727,775720779.69508,9786543.69369369,369107409.009009,775435661.815662
3,38563690.6552095,9908826.63802363,86243968.0988185,20562831.0418904,8228062.40601504,51408523.6305048,36063722.9967777,22411651.9871106,45293396.670247,78596234.4790548,30136208.4854995,78617039.7422127,81362665.4135338,35073953.9205156,28537114.1783029,70306094.8120301,87184134.5864662
4,217412743.978591,17510317.7520071,145103686.886708,237015689.56289,228232990.187333,235563106.155219,125823912.578055,6601372.89027654,234649451.382694,242878317.573595,197910579.839429,235106142.729706,261593154.326494,240665563.782337,469605129.348796,235040500.44603,248188383.050847
5,6788034030.14038,397790056.977704,25849831.2138728,498985741.205615,465170594.549959,456590000.0,456590000.0,456590000.0,242349988.018167,77615440.1321222,40182085.3839802,52190497.5227085,89727970.2725021,25861538.0677126,433399347.646573,52795670.8422791,108588905.862923
6,13118692.7720413,20494328.4352661,20138451.2311358,18294357.3471009,28781593.24861,8945233.79666402,23523009.4360604,19330942.2001589,16000941.9380461,17827979.8252581,34493183.3200953,13836217.7124702,152696414.614774,63241146.7831612,57281866.878475,18496784.0349484,292807134.074662
7,137934055.68487,90173532.7394807,25412640.8236347,18704612.2649955,112246168.880931,131382652.927484,76599217.5470009,87325835.2461952,106797420.07162,82670243.9570277,1184686817.36795,175839368.66607,2355640690.33124,1064287422.56043,456590000.0,37214202.8469114,1493400355.59534
8,410589345.00427,456590000.0,61493552.0153715,457045525.192143,456590000.0,71426324.765158,299061104.184458,329051895.815542,9753899.37660119,32911044.5943638,109228967.156277,73401566.2681469,33025855.8497011,111994098.53971,456590000.0,58907314.6029035,13613113.8684885
9,2563443941.41479,177397502.250804,58519678.1350482,113809618.842444,136420988.810289,628970906.508039,193029501.672026,116542464.630225,796893944.694534,125024374.501608,1550525564.56592,291603321.4791,37665596.977492,223391016.848875,189773306.109325,62925077.4276527,71337889.1961415
10,28639483.5598705,457008084.401294,230988890.614887,28344097.8640777,33929672.038835,47870847.5080906,19769604.4660194,21082262.9708738,61111000.0,331179653.721683,56300390.9385113,22658827.7022654,392689980.12945,100492130.097087,52326244.9838188,198033846.019417,433133981.877023
11,433827083.010085,456590000.0,25341169.1466253,456590000.0,456590000.0,456590000.0,456590000.0,456590000.0,36356648.3320403,42634271.3731575,456590000.0,12984323.6462374,212819014.662529,12698741.8153607,456590000.0,15676974.5539178,245157117.68813
12,15419031.1131555,18079729.7148114,122825175.639374,1711089464.12144,20752387.4885005,16479778.8408464,17187301.8399264,17543440.8463661,17566480.8647654,35200414.1766329,1260493399.03404,27496739.1904324,30114652.2539098,88850158.1416743,230548457.957682,69844802.6678933,39279730.174793
13,413680377.880184,439096890.78341,29823201.5360983,117716564.208909,62984510.2918587,456590000.0,357610706.605223,56798571.9969278,188741875.576037,297990000.30722,47671778.9554531,55124676.0368664,526345102.918587,206093342.857143,216181650.230415,42731811.9815668,485355668.049155
14,17880816.8073676,107772689.409056,12850306.9071374,34773650.990023,12511018.0660015,122171395.418266,11246927.8587874,9848740.5218726,6283886.23177283,15134669.0253262,72537113.5303147,26408879.2785879,83725856.1013047,26324239.2632387,131808458.633922,7234873.676132,49890765.6178051
15,361657631.774313,456590000.0,452184706.755754,456590000.0,456590000.0,456590000.0,458627141.796585,456590000.0,81422304.0905716,168749773.125464,456590000.0,368783154.20193,274399042.687454,68874594.8032665,376467494.729027,419009328.062361,252244045.582777
16,8381011.69792695,428906969.397828,10319618.2033564,19556672.9516288,36624767.2852912,456722922.01382,24136691.2142152,11159521.3228036,13375754.3928924,8590336.32773939,54263012.0434353,7156309.10167818,15242170.2862784,55158719.8321816,8464020.94768016,5534378.47976308,15272836.6238894
17,14181798.7755102,250751326.726531,210243469.714286,114245219.591837,83265908.7346939,36585820.644898,11481114.8734694,12794492.9061224,28489015.1020408,58364324.0816327,123222180.081633,11014269.5510204,71554294.8571429,10646508.4081633,435973955.102041,17606371.9183673,89512038.7755102
18,126819336.964504,85493184.2105263,15075983.3537332,170157751.529988,340143584.94492,37870821.1750306,319545756.425949,60848642.8396573,80133931.5789474,49465135.9853121,82855289.4736842,21769095.8261934,46471117.625459,35553731.8237454,181680989.314565,18488563.8922889,55578726.6829865
