;importance;stddev;p_value;n;p99_high;p99_low
V18 numFix AU17_r AU09_r AU01_r;0.3781373989153141;0.03210906069730942;6.179159433272161e-06;5;0.44425039868545546;0.31202439914517277
V18 numFix AU09_r AU15_r AU01_r;0.3720957194148159;0.04147784822046255;1.8224944721992398e-05;5;0.4574991821855342;0.2866922566440976
numFix AU17_r AU09_r AU15_r AU01_r;0.3549872023022778;0.04710947996341099;3.636084240148472e-05;5;0.4519862726691495;0.25798813193540615
V18 numFix AU17_r AU15_r AU01_r;0.3490583179573952;0.017177037566450823;7.014252532009024e-07;5;0.3844260757186066;0.31369056019618385
V18 numFix AU17_r AU09_r AU15_r;0.3435947002072222;0.03711030209996838;1.6078609931740538e-05;5;0.4200053251499405;0.26718407526450394
V18 AU17_r AU09_r AU15_r AU01_r;0.33986965402439806;0.02281904588371944;2.423906135627108e-06;5;0.38685438489170754;0.2928849231570886
V18 numFix AU09_r AU01_r V16;0.33586103446934945;0.03733350328844315;1.8022562888382475e-05;5;0.41273123374410553;0.25899083519459337
V18 numFix AU09_r AU01_r V2;0.3289589488642796;0.04058549093396563;2.7247991636361314e-05;5;0.4125250356484123;0.24539286208014693
V18 numFix AU09_r AU04_r AU01_r;0.326595598187731;0.039739685132097635;2.579363475298818e-05;5;0.408420159135539;0.244771037239923
V18 numFix AU09_r AU01_r infoProcess;0.3256686710677042;0.04151402312396825;3.101025607938057e-05;5;0.411146618464731;0.2401907236706774
V18 numFix AU09_r AU01_r V1;0.3231791721137398;0.040741333471998764;2.9675758408900784e-05;5;0.4070661408376555;0.2392922033898241
V18 numFix AU09_r AU01_r bvpMean;0.32127889431969897;0.03941594100479645;2.664859080044721e-05;5;0.40243686163477443;0.2401209270046235
V18 numFix AU09_r AU01_r V17;0.31592419141090883;0.0410672222074329;3.350496304079383e-05;5;0.40048216954534444;0.23136621327647322
